Sabina	Ben	0.4288215637207031
Dhanya	Elena	0.4288923144340515
Sabina	Arti	2.2901625197846442E-4
Jay	Steve	0.0
Steve	Alex	0.0
Elena	Arti	1.6957928892225027E-4
Alex	Dhanya	1.6135579789988697E-4
Arti	Steve	1.6984173271339387E-5
Arti	Ben	2.891072945203632E-4
Elena	Jay	1.4187974738888443E-4
Ben	Steve	0.0
Sabina	Alex	0.0
Dhanya	Ben	0.9979277849197388
Ben	Sabina	0.4264236390590668
Alex	Arti	0.9999627470970154
Dhanya	Steve	3.2365269726142287E-4
Jay	Elena	3.110107354586944E-5
Steve	Dhanya	0.0
Steve	Ben	2.9689358780160546E-4
Alex	Elena	8.370006980840117E-5
Alex	Sabina	5.628095241263509E-4
Elena	Sabina	0.2852797508239746
Dhanya	Alex	3.9338311762548983E-4
Ben	Arti	1.9429084204602987E-4
Jay	Sabina	2.820281661115587E-4
Sabina	Steve	0.0
Jay	Arti	6.477037823060527E-5
Arti	Dhanya	0.0
Steve	Sabina	2.2506515961140394E-4
Arti	Elena	1.2025434261886403E-4
Jay	Ben	2.9247559723444283E-4
Elena	Dhanya	0.4263964295387268
Steve	Arti	1.7521136032883078E-4
Elena	Steve	3.3331144368276E-4
Sabina	Jay	0.0
Alex	Steve	2.9279221780598164E-4
Steve	Elena	0.0
Dhanya	Arti	8.156984113156796E-4
Ben	Alex	0.0
Alex	Jay	2.2664466087007895E-5
Jay	Dhanya	0.0
Dhanya	Jay	2.6262481696903706E-4
Jay	Alex	2.330541974515654E-5
Ben	Jay	0.0
Sabina	Elena	0.2815261781215668
Arti	Jay	0.0
Alex	Ben	6.671292358078063E-4
Elena	Ben	0.9982661008834839
Arti	Sabina	2.853109617717564E-4
Elena	Alex	2.7871038764715195E-4
Dhanya	Sabina	0.99821537733078
Steve	Jay	3.607860708143562E-5
